sample,texture,pH,resistance,ambic_p,K,ec_Na,ec_K,ec_Ca,ec_Mg,bs_Na,bs_K,bs_Ca,bs_Mg,carbon,s_value,r_eksteen,r_observed,ta_eksteen,ta_true
1127,Sand,4.13,5467.446212900705,5.520898999999999,24.07165,0.2038506043478261,0.06172217948717948,0.658148365,0.08727058333333332,11.350308617607771,3.436662785338159,36.64540060022456,4.859186251819194,0.10445682451253502,1.0109917321683388,1.1856810826620858,0.9495782781316348,0.6286841877073066,0.785
1128,Sand,4.2,4462.809193655092,17.088357,19.686761,0.1618083043478261,0.05047887435897436,0.723755865,0.08097272500000001,10.260411313484436,3.200911199535343,45.894015732861135,5.1345539218292044,0.1740947075208914,1.0170157687068004,1.270840319999934,1.437015339285714,0.6332255731389148,0.56
1129,Sand,4.54,4942.428043205607,7.063074,15.048006,0.17000392173913045,0.03858463076923077,0.5782852350000001,0.05549925,14.816795948797216,3.362867132822057,50.4008039317192,4.83707113429494,0.09052924791086348,0.8423730375083612,2.165829464352214,2.077981918032787,0.2926289883075171,0.305
1130,Sand,4.03,5269.647345051052,27.768662,12.095582,0.15097867391304348,0.03101431282051282,0.50849132,0.05251366666666667,10.390838574931513,2.13450489183649,34.99601027041061,3.6141596635387714,0.16016713091921986,0.7429979734002229,1.111707896501798,0.790147868544601,0.5046334459186413,0.71
1131,Sand,4.17,5737.732235658728,5.509408,8.821737,0.1968891826086956,0.02261983846153846,0.6276207500000001,0.04175083333333333,12.836017486853468,1.4746805192398882,40.91718404927895,2.721908942160963,0.07660167130919238,0.8888806044035674,1.2307252301819744,1.037785400516796,0.5438838555656818,0.645
1132,Sand,3.95,4872.92890385781,29.359101999999996,11.753799,0.20720449999999996,0.03013794615384615,0.72915406,0.04714146666666666,11.088530952159047,1.6128295899047844,39.02061665264238,2.52277152409097,0.1740947075208914,1.013637972820513,1.0870148137499882,0.907947984405458,0.7141535854406612,0.855
1133,Sand,4.03,4725.503549738407,19.490104,13.199469,0.15989676086956522,0.03384479230769231,0.59760562,0.04845917500000001,8.933746437563173,1.890975095834246,33.389401071719455,2.7075093933682233,0.1880222841225625,0.8398063481772574,1.111707896501798,0.6800682052631578,0.5811461779060548,0.95
1134,Sand,4,5845.030212140158,6.603409,7.535567000000001,0.14792683913043478,0.01932196666666667,0.44716355,0.02503525833333333,11.88694786753234,1.5526540809970542,35.93269374480325,2.0117567062738004,0.07660167130919238,0.6394476141304348,1.0991999999999962,0.7804938980716254,0.4295840687166439,0.605
1135,Sand,4.18,6819.117481248005,4.94402,6.129929,0.2550286130434783,0.01571776666666666,0.81101366,0.06449934166666665,15.259666804884676,0.9404744016286752,48.52709693284554,3.859325631041844,0.04874651810584929,1.1462593813768116,1.2434797945920764,1.6676438126984123,0.7040830140339182,0.525
1136,Sand,3.97,4589.231995844024,15.309455,8.940513,0.20478178695652177,0.0229243923076923,0.688629535,0.0459804,11.115453280302424,1.2443245830723175,37.37846777044695,2.4957931835907377,0.11838440111420569,0.9623161142642142,1.0906568497018725,0.8347840170454546,0.6735481789719684,0.88
1137,Sand,4.1,5377.168710850271,4.875071,9.024868,0.17024000869565217,0.02314068717948718,0.563335865,0.02571715,11.640870107799849,1.5823409298763695,38.52043759733167,1.7585173132128171,0.06267409470752083,0.7824337108751394,1.157923619999906,0.8662544338235293,0.5087149142013769,0.68
1138,Sand,5.36,2442.7066930611345,20.57869,43.034851,0.21800679999999997,0.1103457717948718,2.1521434349999997,0.25944739166666664,7.009992532592267,3.548160132093044,69.20201300334425,8.34251169313927,0.31337047353760505,2.739943398461538,8.122125699071717,6.5178130450450436,0.29691621578108407,0.37
1139,Sand,4.91,3537.6118860169618,20.135231,44.391215,0.28202891304347827,0.11382362820512822,1.53014131,0.21041241666666669,10.75868767445069,4.342082705694024,58.37100981744718,8.02669999084123,0.22980501392757668,2.136406267915273,4.19449974226211,3.5887705704467354,0.41496098071709,0.485
1140,Loam,4.38,418.9477712720317,4.25334,107.8046,1.0301168608695652,0.2764220512820513,3.5344870950000007,2.7175630500000003,12.250769467600954,3.287377340041973,42.03424701786172,32.31889478162423,0.16381766381766383,7.558589057151618,1.6376355213119496,7.355353111764707,3.8177299305228383,0.85
1141,Sand,5.63,1014.1015517879272,71.540507,25.273008,0.31421525652173915,0.06480258461538461,3.2512127950000003,0.7587737833333332,6.74425753297424,1.3909105633076448,69.78342371629545,16.28617865573039,0.22079772079772075,4.389004419470457,11.047938427061922,14.851802141975307,0.3629624300322739,0.27
1142,Sand,4.1,2593.3736455770436,86.205284,33.10931,0.23367500869565216,0.08489566666666667,1.407776605,0.43068931666666666,8.827796674890227,3.207196559426226,53.18311830596064,16.270621915468386,0.1923076923076925,2.1570365970289855,1.157923619999906,3.751971268707483,1.587726418143898,0.49
1143,Sand,5.2,1671.1901930521929,37.56909,99.80207,0.22839153478260868,0.2559027435897436,2.219111905,0.5975532833333334,6.264236804282753,7.018803854694662,60.86496367457106,16.389465894782806,0.2065527065527064,3.3009594667056854,6.562686719999988,8.164246922705315,0.4291939122660633,0.345
1144,Sand,4.99,2162.71218921903,42.196336,25.184512,0.2263041043478261,0.0645756717948718,1.49237767,0.44112975833333334,8.964714444224828,2.558073170406333,59.11841366307996,17.474726442566308,0.13532763532763514,2.224387204476031,4.782845762741886,6.445024761111111,0.404258787392906,0.3
1145,Loam,5.63,551.3972142514976,10.559423000000002,66.608231,0.6454242,0.17079033589743592,6.041017505,2.800693741666667,6.382170836384351,1.6888320904312275,59.735606044053434,27.694198512713292,0.5626780626780628,9.657925782564105,11.047938427061922,19.43233241025641,0.8003041748502959,0.455
1146,Loam,5.61,570.7815476436807,28.460767,73.989163,0.4429373913043479,0.1897158025641026,5.691975535,4.283649441666666,3.994645376785058,1.7109581816610122,51.33326786592789,38.632232847924115,0.7905982905982905,10.608278170535115,10.822219538022068,20.782552034722222,0.921772557063638,0.48
1147,Loam,5.1,662.5858124756268,47.527274,52.288186,0.3267640695652174,0.1340722717948718,3.1160469949999996,2.9147165416666665,4.588351987780545,1.8826144980223236,43.75487317975228,40.92783351476737,0.47720797720797714,6.491599878026755,5.674278419999723,9.572640534391534,1.0628247488544915,0.63
1148,Sand,5.36,2975.511692176257,14.643631,12.593605,0.19548183043478265,0.03229129487179487,2.97382671,0.13805775,4.5045450382227035,0.7440977597202207,68.52675934776343,3.181305144153369,0.44540229885057414,3.3396575853065777,8.122125699071717,3.11188446,0.3831367027914453,1
1149,Sand,4.53,3083.2846187764326,40.945813,29.043539999999997,0.16182393478260867,0.07447061538461537,1.785914125,0.2530410416666667,5.305268414239188,2.4414596278338365,58.54976774995818,8.295748386440934,0.4885057471264367,2.275249716833891,2.126846443302042,2.6309098924731185,0.9586753068552896,0.775
1150,Sand,4.6,3994.775833147864,17.612264,17.372984,0.15633595217391302,0.04454611282051281,1.184114695,0.19002454166666669,7.339642662352473,2.0913458839953205,55.591683241692024,8.921250764885611,0.2298850574712641,1.5750213016610926,2.4169555199999877,2.4759265525525525,0.5685413841073392,0.555
1151,Sand,5.86,2660.8083695451473,26.77209,22.010083,0.18170954782608692,0.05643611025641025,3.999593395,0.2884073916666667,3.824541085802719,1.1878419432594398,84.18164839815117,6.070269460656315,0.4166666666666665,4.5261464447491635,13.683620429471487,19.05778127407407,0.31336741681545494,0.225
1152,Sand,4.99,3501.296721731714,9.029544,12.511388,0.18975181739130437,0.03208048205128205,1.619943805,0.14642585833333335,7.402921039659521,1.2515783975344352,63.20000641875362,5.712614942552391,0.30172413793103425,1.98820196277592,4.782845762741886,3.0719472405797106,0.36931353235206943,0.575
1153,Sand,5.28,1793.0860348596948,14.001889,84.164832,0.15192289130434783,0.21580726153846155,4.171084685,0.583130725,2.6690854581622316,3.791449850596917,73.28047394249455,10.244840161625836,1.0488505747126435,5.12194556284281,7.322625994751775,8.340728789473685,0.6492500659472996,0.57
